姓名,性别,年龄,政治面貌,体重,籍贯,健康状况,身高,学历,毕业院校,专业,求职意向,手机,邮箱,教育经历,荣誉奖项,技能证书,工作经历,兴趣爱好,自我评价,录入时间
胡宇,男,23,共青团员,65.0,江苏省南京市,良好,170.0,本科,北京大学,会计学,财务分析专员,13093187070,huyu437@126.com,"[{""start_time"":""2019-09"",""end_time"":""2023-06"",""school"":""北京大学"",""degree"":""本科"",""major"":""会计学""}]",校级优秀毕业生、国家励志奖学金,初级会计职称、CPA通过会计科目,"[{""start_time"":""2023-07"",""end_time"":""至今"",""company"":""百度"",""position"":""财务实习生→财务分析助理"",""responsibilities"":""协助完成月度财务报告编制；参与预算执行分析；负责部门费用报销审核；支持财务系统数据维护""}]",羽毛球、财经阅读、吉他,具备扎实的会计专业基础，熟练使用财务软件及Excel数据分析。工作细致负责，适应高强度工作节奏，持续学习财务前沿知识。,2025-07-03 12:36:07
赵洁,女,22,共青团员,50.0,浙江省杭州市,良好,165.0,本科,浙江大学,国际贸易,国际贸易专员,13941258881,zhaojie497@hotmail.com,"[{""start_time"":""2020-09"",""end_time"":""2024-06"",""school"":""浙江大学"",""degree"":""本科"",""major"":""国际贸易""}]",校级优秀毕业生、国际贸易案例分析大赛二等奖,英语六级（CET-6）、国际贸易单证员证书,"[{""start_time"":""2024-07"",""end_time"":""至今"",""company"":""腾讯"",""position"":""国际业务助理"",""responsibilities"":""协助处理国际业务相关文件，参与跨境贸易项目协调，负责部分客户沟通与数据整理工作""}]",阅读、旅行、羽毛球,具备扎实的国际贸易专业知识，英语沟通能力良好，工作认真负责，适应能力强，善于团队协作,2025-07-03 13:57:52
刘军,男,23,共青团员,65.0,江苏省南京市,良好,170.0,本科,安徽工程大学,广告学,广告策划,18542989292,刘军583@sina.com,"[{""start_time"":""2019-09"",""end_time"":""2023-06"",""school"":""安徽工程大学"",""degree"":""本科"",""major"":""广告学""}]",校级优秀毕业生,广告设计师三级,"[{""start_time"":""2023-07"",""end_time"":""至今"",""company"":""北京创新科技有限公司"",""position"":""广告策划助理"",""responsibilities"":""协助策划广告方案，参与客户需求分析，撰写创意文案，跟进项目执行""}]",运动、阅读、音乐,具备扎实的广告学理论基础，思维活跃，创意能力强，善于团队协作，适应快节奏工作环境,2025-07-03 13:59:41
罗凯,男,30,共青团员,12.0,江苏省南京市,状况,170.0,本科,江西理工大学,汉语言文学,市场营销经理,15654139272,nan,"[{""time_range"": ""2012-09"", ""school"": ""江西理工大学"", ""degree"": ""本科"", ""major"": ""汉语言文学""}]",校级优秀毕业生 全国大学生文学创作大赛二等奖,普通话一级乙等。市场营销师资格证,"[{""time_range"": ""2016-07"", ""position"": ""市场推广专员"", ""responsibilities"": ""负责区域市场推广活动策划与执行。客户需求分析,协助完成季度营销目标""}, {""time_range"": ""2018-07"", ""company"": ""腾讯科技"", ""position"": ""市场营销经理"", ""responsibilities"": ""统筹品牌营销项目。制定年度营销计划。管理10人团队。年度K|超额完成30%""}]",运动。阅读 音乐,具备8年市场营销经验。擅长团队管理与策略制定。数据敏感度高。抗压能力强,2025-07-03 14:03:07
马萍,女,30,共青团员,65.0,江苏省南京市,良好,170.0,本科,北京信息职业技术学院,汉语言文学,高级文案策划,15526603825,马萍603@qq.com,"[{""start_time"":""2012-09"",""end_time"":""2016-06"",""school"":""北京信息职业技术学院"",""degree"":""本科"",""major"":""汉语言文学""}]",校级优秀毕业生、全国大学生作文比赛二等奖,普通话一级甲等、高级文案策划师,"[{""start_time"":""2016-07"",""end_time"":""2018-08"",""company"":""北京文化传媒有限公司"",""position"":""文案策划"",""responsibilities"":""负责企业宣传文案撰写、活动策划及执行，参与多个品牌推广项目""},{""start_time"":""2018-09"",""end_time"":""2021-05"",""company"":""上海广告有限公司"",""position"":""高级文案策划"",""responsibilities"":""主导品牌全案策划，负责创意文案输出及团队管理，成功服务多个500强客户""},{""start_time"":""2021-06"",""end_time"":""至今"",""company"":""西门子中国"",""position"":""市场传播主管"",""responsibilities"":""负责西门子中国区市场传播策略制定与执行，管理跨部门传播项目，主导数字化营销转型""}]",阅读、写作、瑜伽、旅行,8年文案策划与市场传播经验，擅长品牌策略与创意表达，具备优秀的项目管理能力和团队协作精神,2025-07-03 14:05:05
吴伟峰,男,48,共青团员,65.0,江苏省南京市,良好,170.0,本科,南京理工大学,新闻学,资深媒体与公关专家,13946354125,吴伟峰859@hotmail.com,"[{""start_time"":""1994-09"",""end_time"":""1998-06"",""school"":""南京理工大学"",""degree"":""本科"",""major"":""新闻学""}]",江苏省优秀新闻工作者、全国新闻奖三等奖,高级编辑资格证、公共关系管理师,"[{""start_time"":""1998-07"",""end_time"":""2002-08"",""company"":""南京日报社"",""position"":""记者"",""responsibilities"":""负责社会新闻采编，撰写深度报道，参与重大新闻事件跟踪""},{""start_time"":""2002-09"",""end_time"":""2006-11"",""company"":""新华通讯社江苏分社"",""position"":""编辑"",""responsibilities"":""统筹地方新闻编辑工作，策划专题报道，指导记者团队""},{""start_time"":""2006-12"",""end_time"":""2012-05"",""company"":""腾讯网"",""position"":""内容主编"",""responsibilities"":""管理新闻频道内容生产，制定内容策略，协调跨部门合作""},{""start_time"":""2012-06"",""end_time"":""2018-09"",""company"":""阿里巴巴集团"",""position"":""公关总监"",""responsibilities"":""主导企业品牌传播，处理危机公关，搭建媒体关系网络""},{""start_time"":""2018-10"",""end_time"":""至今"",""company"":""微软中国"",""position"":""资深公关专家"",""responsibilities"":""制定亚太区公关战略，领导团队执行全球品牌项目，参与高层决策""}]",羽毛球、古典音乐、历史研究,拥有20年媒体与公关经验，擅长战略规划与团队领导，具备国际化视野和跨文化沟通能力,2025-07-04 08:28:16
何建勇,男,38,共青团员,65.0,江苏省南京市,良好,170.0,本科,浙江大学,工商管理,高级管理职位,15144414273,何建勇608@hotmail.com,"[{""start_time"":""2004-09"",""end_time"":""2008-06"",""school"":""浙江大学"",""degree"":""本科"",""major"":""工商管理""}]",校级优秀毕业生、工商管理案例分析大赛一等奖,高级人力资源管理师、PMP项目管理专业人士资格认证,"[{""start_time"":""2008-07"",""end_time"":""2012-08"",""company"":""杭州文化传播有限公司"",""position"":""市场专员"",""responsibilities"":""负责市场调研与分析，策划并执行市场推广活动，维护客户关系，提升品牌知名度。""},{""start_time"":""2012-09"",""end_time"":""2018-05"",""company"":""浙江教育出版社"",""position"":""市场部经理"",""responsibilities"":""统筹市场部整体工作，制定年度市场计划，管理团队完成销售目标，优化市场策略，提升市场份额。""},{""start_time"":""2018-06"",""end_time"":""至今"",""company"":""新华书店"",""position"":""运营总监"",""responsibilities"":""全面负责公司运营管理工作，制定战略发展规划，优化业务流程，提升运营效率，带领团队实现业绩增长。""}]",运动、阅读、音乐,具备丰富的市场与运营管理经验，擅长团队建设与战略规划，工作认真负责，具备较强的领导力和执行力。,2025-07-04 08:28:47
胡超磊,男,47,共青团员,75.0,内蒙古呼和浩特市,良好,175.0,本科,内蒙古工业大学,人力资源管理,人力资源总监,13968984874,huchaolei@126.com,"[{""start_time"":""1995-09"",""end_time"":""1999-06"",""school"":""内蒙古工业大学"",""degree"":""本科"",""major"":""人力资源管理""}]",优秀人力资源管理师、年度最佳管理者,高级人力资源管理师、心理咨询师二级,"[{""start_time"":""1999-07"",""end_time"":""2003-08"",""company"":""内蒙古某大型国企"",""position"":""人力资源专员"",""responsibilities"":""负责员工招聘、入职培训及基础人事管理工作""},{""start_time"":""2003-09"",""end_time"":""2008-05"",""company"":""北京某科技公司"",""position"":""人力资源主管"",""responsibilities"":""统筹招聘体系搭建，主导绩效改革项目""},{""start_time"":""2008-06"",""end_time"":""2014-11"",""company"":""网易"",""position"":""人力资源经理"",""responsibilities"":""管理20人团队，负责杭州总部人才梯队建设与组织发展""},{""start_time"":""2014-12"",""end_time"":""2020-03"",""company"":""某上市互联网企业"",""position"":""人力资源总监"",""responsibilities"":""制定集团人力资源战略，主导并购后万人规模的组织融合""},{""start_time"":""2020-04"",""end_time"":""至今"",""company"":""某跨国企业中国区"",""position"":""副总裁（人力资源）"",""responsibilities"":""分管亚太区人力资源体系，推动全球化人才战略落地""}]",马拉松、古典音乐、历史研究,18年跨行业人力资源管理经验，擅长组织变革与人才发展，具备全球化视野与战略思维,2025-07-04 08:43:01
周倩,女,46,共青团员,65.0,江苏省南京市,良好,170.0,本科,新疆师范大学,电气工程,金融行业高级管理,15658668736,周倩991@gmail.com,"[{""start_time"":""1996-09"",""end_time"":""2000-06"",""school"":""新疆师范大学"",""degree"":""本科"",""major"":""电气工程""}]",校级优秀毕业生、金融行业创新奖,高级电气工程师、CFA一级,"[{""start_time"":""2000-07"",""end_time"":""2005-12"",""company"":""中国电力建设集团"",""position"":""电气工程师"",""responsibilities"":""负责电力系统设计与维护，参与大型电力项目规划与实施""},{""start_time"":""2006-01"",""end_time"":""2012-08"",""company"":""中国银行"",""position"":""金融产品经理"",""responsibilities"":""负责金融产品开发与推广，管理团队完成年度销售目标""},{""start_time"":""2012-09"",""end_time"":""2018-05"",""company"":""招商银行"",""position"":""高级金融产品总监"",""responsibilities"":""领导团队开发创新金融产品，制定市场策略，提升客户满意度""},{""start_time"":""2018-06"",""end_time"":""至今"",""company"":""招商银行"",""position"":""金融事业部总经理"",""responsibilities"":""全面负责金融事业部的运营与管理，制定战略规划，推动业务增长""}]",运动、阅读、音乐,具备18年以上金融行业经验，擅长团队管理与战略规划，致力于推动金融创新与业务发展,2025-07-04 08:43:34
吴勇晨,男,27,共青团员,8.0,江苏省南京市,状况,170.0,本科,电子科技大学,软件工程,软件开发工程师,13253651561,nan,"[{""time_range"": ""2015-09"", ""school"": ""电子科技大学"", ""major"": ""软件工程""}]",校级优秀毕业生。全国大学生软件设计大赛三等奖,Java高级开发工程师认证 PMP项目管理认证,"[{""time_range"": ""2019-07"", ""company"": ""腾讯科技"", ""responsibilities"": ""参与后台服务开发。负责核心模块设计与实现。优化系统性能。提升响应速度30%""}, {""time_range"": ""2021-09"", ""company"": ""招商银行"", ""position"": ""高级软件工程师"", ""responsibilities"": ""负责银行核心系统开发与维护。主导多个重点项目 带领团队完成系统架构升级""}]",篮球。阅读。旅行,具备扎实的编程基础和丰富的,2025-07-04 09:09:12
杰西卡,女,30,中共党员,55.0,山东,良好,165.0,硕士,KTH,统计学,数据分析,13456781234,kaloskagathos@motion.team,"[{""start_time"":""2008-09"",""end_time"":""2010-06"",""school"":""KTH"",""degree"":""硕士"",""major"":""统计""},{""start_time"":""2004-09"",""end_time"":""2008-09"",""school"":""复旦大学"",""degree"":""本科"",""major"":""经济学""}]",美国MCM 一等奖,PMP,"[{""start_time"":""2011-01"",""end_time"":""2014-02"",""company"":""同花顺"",""position"":""产品经历"",""responsibilities"":""打杂""}]",广泛,很高,2025-07-04 09:13:40
李杰飞,男,25,共青团员,65,江苏省南京市,良好,170,硕士,北京大学,人力资源管理,人力资源主管,13824352858,李杰飞950@163.com,"[{""start_time"":""2019-09"",""end_time"":""2021-06"",""school"":""北京大学"",""degree"":""硕士"",""major"":""人力资源管理""}]",校级优秀毕业生、国家励志奖学金,人力资源管理师三级、英语六级,"[{""start_time"":""2021-07"",""end_time"":""2023-05"",""company"":""新华书店"",""position"":""人力资源专员"",""responsibilities"":""负责员工招聘、入职培训及绩效考核，优化招聘流程，提高招聘效率20%""},{""start_time"":""2023-06"",""end_time"":""至今"",""company"":""新华书店"",""position"":""人力资源主管"",""responsibilities"":""统筹人力资源部门工作，制定年度招聘计划，主导员工职业发展规划项目""}]",运动、阅读、音乐,具备扎实的人力资源管理理论基础和丰富的实践经验，擅长团队协作与沟通，注重细节与效率,2025-07-04 09:16:42
